product_id,category_id,category_code,brand
5712790,1487580005268456192,,f.o.x
5764655,1487580005411062528,,cnd
4958,1487580009471148032,,runail
5848413,1487580007675986944,,freedecor
5824148,1487580005511725824,,
5773361,1487580005134238464,,runail
5629988,1487580009311764480,,
5807805,1487580005713052416,,ingarden
5588608,1487580008145748992,,roubloff
5335,1487580009605365760,,runail
5755170,1487580009387261952,,
5650294,1487580007835370496,,metzger
5692261,1487580007835370496,,staleks
5798929,1783999068909863680,,zinger
5694628,1487580007835370496,,yoko
3936,1487580005343953664,,entity